,pickup_datetime,trip_distance,total_amount
0,2011-12-03 10:28:00,8.28,25.58
1,2012-05-05 22:46:05,5.2,19.9
2,2010-12-21 13:08:00,2.64,15.4
3,2014-04-30 16:45:10,6.2,31.2
4,2013-04-09 09:39:13,6.5,30.0
5,2014-04-19 14:08:46,8.7,33.75
6,2014-12-08 21:50:00,5.33,27.0
7,2012-03-04 00:57:00,7.33,23.5
8,2013-12-09 15:03:00,9.44,34.83
9,2013-08-21 23:14:38,10.3,37.0
10,2012-02-21 11:53:00,11.9,38.54
11,2009-09-25 03:47:00,5.76,17.4
12,2011-06-04 02:52:10,5.3,16.3
13,2013-12-21 06:21:00,5.85,23.3
14,2009-11-20 10:54:26,5.8,15.8
15,2014-10-06 15:16:00,11.47,47.33
16,2014-12-08 21:50:00,11.81,37.5
17,2010-05-26 16:15:03,6.1,25.76
18,2012-03-30 18:28:20,5.7,18.8
19,2015-02-17 21:29:49,7.12,30.36
20,2014-10-28 06:59:59,4.7,25.0
21,2009-02-12 17:51:38,1.7,11.6
22,2012-02-27 09:19:10,11.6,38.0
23,2011-12-15 23:27:26,10.0,27.0
24,2013-01-04 05:05:28,6.9,20.5
25,2014-09-06 12:05:18,3.2,20.0
26,2013-10-20 22:05:16,7.8,29.37
27,2009-03-28 20:30:35,0.5,4.6
28,2009-08-23 23:59:22,8.3,18.9
29,2012-02-21 11:53:00,10.85,39.5
30,2014-05-20 23:09:00,10.31,38.0
